#for 10 cm length
#angle(a)   timeperiod(T)   peak voltage(V)
30,1.69,1.45
40,1.68,1.75
45,1.66,1.80
50,1.63,2.05
60,1.60,2.25

#for 16 cm length
30,1.60,1.20
40,1.63,1.60
45,1.67,1.80
50,1.67,1.95
60,1.68,2.55

#for 20 cm length
30,1.64,1.10
40,1.66,1.45
45,1.67,1.65
50,1.69,1.95
60,1.71,2.20

#for 25 cm length
30,2.15,1.35
40,2.07,1.60
45,2.03,1.80
50,1.84,2.05
60,1.79,2.25
